分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
宗教命理,雷諾曼卡寶典：從牌義、解牌到應用，讓你輕鬆學習、精準實占,https://www.books.com.tw/img/001/092/61/0010926124.jpg,向日葵（蔡桑妮）,尖端,2022/06/10,優惠價：79折 300元,"第一本由國人著作的「雷諾曼卡占卜」入門書！
臺灣塔羅界傳奇──向日葵老師，
繼《塔羅葵花寶典》後，睽違近20年，
再度推出超實用的牌卡占卜教學書籍。
 
名師傾囊相授，最強教...more",https://www.books.com.tw/products/0010926124?loc=P_0005_011,"['盧恩符文神諭占卜卡【第一副最完整中文化牌卡】', '圖解巴赫花精：解析創傷、釋放壓力，療癒心靈與情的最佳解方', '火系魔法【自然元素魔法系列3】：關於力量、創造、重生的魔法', '占星芳療：獻給女巫的精油魔法調香術', '芳療藥師的對症精油處方：125種常備精油與100種天然精油處方，照護你和孩子的健康', '[MUJI 無印良品]棉棒(補充用)/200支', '咖啡時間的自我對話：5分鐘改寫潛意識，實現任何目標(收錄夢想成真「自我對話腳本」)']"
宗教命理,探索：窺天閣主人全集 基督教與我,https://www.books.com.tw/img/001/092/45/0010924587.jpg,陳宗文,城邦印書館,2022/05/26,優惠價：9折 378元,"半世紀平信徒的信仰經驗，
半世紀流浪的信徒在各教會間留下泥爪，
最後停留在自己心靈角落的聖殿，
依然還在繼續我的……
 
探索《聖經》的奧祕
 
《聖經》難讀，《聖經》就記載著：
「...more",https://www.books.com.tw/products/0010924587?loc=P_0005_012,['NaN']
宗教命理,心電感應大角星：星際馬雅時間飛船計畫（限量附贈：最新「星際旅人13月亮曆法」學習手冊）,https://www.books.com.tw/img/001/092/33/0010923321.jpg,張之愷,新星球,2022/05/09,優惠價：79折 1043元,"華文世界第一本關於大角星的故事
繼《跨次元互聯網》後，又一全新星際冒險篇章

星際馬雅13月亮曆法之「時間法則」探源
限量附贈──最新「星際旅人13月亮曆法」學習手冊
從理解到應用，讓你全方位認...more",https://www.books.com.tw/products/0010923321?loc=P_0005_013,"['薩滿之路：進入意識的時空旅行，迎接全新的身心轉化', '真我之眼：讓虛幻無所遁形的真實覺醒世界【意識能量學大師進階之作】', '穿越亞馬遜：紅天行者的狂人手札', '金剛經說甚麼(新訂版)']"
宗教命理,魔法防禦術：除咒、護盾、逆襲，打開個人能量護罩,https://www.books.com.tw/img/001/092/33/0010923323.jpg,傑森・米勒,橡實文化,2022/05/09,優惠價：79折 379元,"除了會使用白魔法，更要懂得防禦黑魔法
破解咒術與暗黑攻擊的能量防身術
★魔法圈大師級經典著作
★Amazon讀者評價4.5顆星，超過1700位評論推薦
★魔法修行者、身體能量工作者必備防護結界
...more",https://www.books.com.tw/products/0010923323?loc=P_0005_014,"['火系魔法【自然元素魔法系列3】：關於力量、創造、重生的魔法', '新巫魔法書：改變生命的實修魔法', '防護魔法全書：化解負能量、厄運、小人!讓你常保神清氣爽、消災解難的100多種日常魔法', '大地魔法：取之自然的實用威卡魔法', '美國原裝進口韋特塔羅牌', '量子物理與宇宙法則：量子成功的科學', '咒術使用說明書', '風系魔法【自然元素魔法系列2】：關於智慧、溝通、改變的魔法', 'neuve 惹我 眉筆 (咖啡)BR', '誦經與量子力學：從藥師經儀軌了解意識能量轉化的奧祕', '魔法顯化：93則成為巫師的自學指南', '儀式魔法全書(下冊)：西方祕法傳統完整指南', '【小浣熊】零油脂海苔捲─醬燒原味', '與精靈連結：探索大自然精靈的魔法世界', '過度努力：每個「過度」，都是傷的證明', '情緒勒索：那些在伴侶、親子、職場間，最讓人窒息的相處(15萬冊暢銷版)', '西洋惡魔咒術', '能量神諭卡：找到改變命運的方向，實現美好的財富、愛情、職業、健康、人生', '意念使用手冊：瞬間改變時間和空間的量子習慣', '魔藥學：魔法、藥草與巫術的神奇秘密']"
宗教命理,如夢如幻：我是一道彩虹,https://www.books.com.tw/img/001/092/28/0010922871.jpg,盧勝彥,財團法人真佛般若藏文教基金會,2022/05/12,優惠價：79折 205元,"「悟者是佛，迷者眾生。娑婆眾生，全在迷夢中。」，
這「如夢如幻」四個字對在迷夢中的你我而言，是有著甚麼樣的意義呢?
只是人云亦云的形容詞嗎? 
還是會成為喚醒你我實修的一個起點與動...more",https://www.books.com.tw/products/0010922871?loc=P_0005_015,"['一籃子奇想：一天一小品', '小語與小詩：一日一小詩', '七旬老僧述心懷：見道真言', '純純之思：清澈的思維', '鐵證如山的尿療法奇蹟', '遇見達摩祖師：無我無心', '[星巴克]楓糖綜合堅果']"
宗教命理,女神智慧：藉助古老教導與實踐連結神聖陰性力量,https://www.books.com.tw/img/001/092/34/0010923400.jpg,塔尼希卡,生命潛能,2022/05/10,優惠價：9折 405元,"陰性智慧的失落，形塑了過度強調陽性法則的當代社會
透過回溯世界各地的文化起源與靈性傳承，人們將重新認識「她」
讓一分為二的現代心靈得以進入鍊金術式的神聖婚姻之中
本書作者塔尼希卡曾以混亂的...more",https://www.books.com.tw/products/0010923400?loc=P_0005_016,"['愛，從接納自己開始：發現愛，深入關係，到與萬物合一的旅程', '力度伸維他命C+D+鋅發泡錠 15錠(黑醋栗口味)', '佛陀不廢話：極簡佛法入門問答', '千面女神：瞭解女性如何孕育整個人類的精神家園', '盧恩符文神諭占卜卡【第一副最完整中文化牌卡】', '來自動物界的訊息：動物圖騰的靈性力量', '火系魔法【自然元素魔法系列3】：關於力量、創造、重生的魔法', '新巫魔法書：改變生命的實修魔法', '魔法防禦術：除咒、護盾、逆襲，打開個人能量護罩', '那洛巴教你：邊工作，邊開悟', '顯化效應：每天都能做的「注意力鍊金術」，讓你心想事成', '星盤上的恆星：星座、月宿與神話', '【K’s 凱恩絲】2020新款KS94「類韓國版型口罩」天然專利有氧蠶絲口罩(天然透氣材質 3D立體剪裁呼吸舒適 純手工車縫) 白色', '千面英雄：70年經典新編紀念版，從神話學心理學到好萊塢編劇王道', '與精靈連結：探索大自然精靈的魔法世界']"
宗教命理,老師的話第28輯,https://www.books.com.tw/img/001/092/45/0010924518.jpg,明德出版社,明德出版社,2022/05/15,優惠價：79折 126元,"回首這數十年來，師尊為渡化冥頑不靈的我輩，屢屢臨壇慈悲顯化，從來不嫌棄弟子們的魯鈍與痴迷。
老師，從來不曾放棄過我們！祂那慈悲的法雨，有如醍醐灌頂，永遠鍥而不捨、無微不至的告誡著我們...more",https://www.books.com.tw/products/0010924518?loc=P_0005_017,['孟子金句：天性與人情']
宗教命理,圖解台灣行業神明圖鑑：台南體傳統工藝,https://www.books.com.tw/img/001/092/67/0010926731.jpg,謝奇峰,晨星,2022/06/13,優惠價：79折 474元,"從無形到有形，從塑像到粧佛，傳統工藝完整體現——百工司阜心目中最崇敬的那一尊神明。
 
台灣的行業神明祭祀源遠流長，行業神即百工百業的守護神，也是行業中俗稱的「祖師爺」。在趨吉避凶的心...more",https://www.books.com.tw/products/0010926731?loc=P_0005_018,['拜、請：信仰與文化的綻放']
宗教命理,新巫魔法書：改變生命的實修魔法,https://www.books.com.tw/img/001/092/36/0010923661.jpg,安柏希雅・哈索恩,楓樹林出版社,2022/05/12,優惠價：79折 332元,"～麻瓜也可以念霍格華滋的必備魔法書～
★亞馬遜4.7星至高好評，超過15000則好評！
★穩居美國亞馬遜書榜威卡教NO.1、魔法研究NO.2！
 
•「放下舊愛」法術•
協助你放下過往戀情，...more",https://www.books.com.tw/products/0010923661?loc=P_0005_019,"['魔法防禦術：除咒、護盾、逆襲，打開個人能量護罩', '火系魔法【自然元素魔法系列3】：關於力量、創造、重生的魔法', '防護魔法全書：化解負能量、厄運、小人!讓你常保神清氣爽、消災解難的100多種日常魔法', '大地魔法：取之自然的實用威卡魔法', '盧恩符文初學指南', '預兆教科書：運用900個日常「預兆」揭示未來', '與精靈連結：探索大自然精靈的魔法世界', '咒術使用說明書', '瑜伽手印大全：108種療癒手印圖解+引導式冥想', '西洋惡魔咒術', '盧恩符文神諭占卜卡【第一副最完整中文化牌卡】', '不准畫太好：人氣YouTuber的4大繪圖障礙破解術', '小雞卡巴拉：從半吊子變成卡巴拉神祕家的需知及毋需知指南', '魔法顯化：93則成為巫師的自學指南', '女神智慧：藉助古老教導與實踐連結神聖陰性力量']"
宗教命理,占星學全指引：了解你的星座與星盤，初學與進階必備案頭書,https://www.books.com.tw/img/001/092/32/0010923241.jpg,露易絲．愛丁頓,商周出版,2022/05/07,優惠價：79折 300元,"美國Amazon占星類別暢銷榜NO.1，讀者五星好評！
占星基礎知識全具備，邁向水瓶世紀，不可或缺的生命航向指南
占星之門安格斯／占星師
蘇飛雅／占星師
好評推薦！
沒有任何一個星盤配置是全好或...more",https://www.books.com.tw/products/0010923241?loc=P_0005_020,"['星盤上的恆星：星座、月宿與神話', '風系魔法【自然元素魔法系列2】：關於智慧、溝通、改變的魔法', '占星十二宮位研究', '現代塔羅牌：結合人生的塔羅牌', '當代占星研究', '預兆教科書：運用900個日常「預兆」揭示未來', '占星.業力與轉化：從星盤看你今生的成長功課', '昨日的天空：從南北月交點洞悉前世，指引今生方向', '能量水晶療癒全書：頻率對了，你的人生就對了!找出你身心靈的能量調音師', '變異三王星：天王星、海王星、冥王星的行運、苦痛、與轉機', '《塔羅入門》全譯本+美國原裝進口韋特塔羅牌', '盧恩符文神諭占卜卡【第一副最完整中文化牌卡】', '現代占星學：以占星結合心理學，找出靈魂的真實目標', '占星相位研究', '火系魔法【自然元素魔法系列3】：關於力量、創造、重生的魔法', '大地魔法：取之自然的實用威卡魔法', '占星解密‧愛與性、事業與金錢、親情與友情關係：深度剖析行星個性特質 × 十二宮位終極密碼，從星盤中看出你的宿命與解脫 (電子書)', '德國 好立善 EUREYE葉黃素全方位複方軟膠囊(30粒)', '水系魔法【自然元素魔法系列1】：關於愛、療癒、豐盛的魔法']"
