分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
童書/青少年文學,邪惡貓大帝克勞德1：愚蠢的地球人我來了！,https://www.books.com.tw/img/001/092/41/0010924135.jpg,"強尼‧馬希安諾,艾蜜麗‧切諾韋斯",木馬文化,2022/05/18,優惠價：79折 277元,"★全美銷售超過二十萬本，暢銷全球，
已陸續出版法文、西班牙文、俄文、土耳其文等各國譯本★
★充滿笑料又荒謬的情節，讀者將真正體會到閱讀的樂趣，沒有錯，就是一邊看一邊呵呵笑的樂趣。
★孩子入...more",https://www.books.com.tw/products/0010924135?loc=P_0005_061,"['邪惡貓大帝克勞德2：戰鬥吧，別再耍笨了!', '妖怪托顧所3&4套書：妖怪們的春夏秋冬/半妖之子(附限量精緻刺繡御守──學業成就款)', '【老四川】酸辣粉(106g)', '爆笑科學王(10)：精神的動物世界', '爆笑科學王(11)：精神的程式設計大冒險', '科學偵探謎野真實特別篇：科學偵探怪奇事件檔案2─外星人入侵之謎', '跑跑薑餅人城市大逃亡12：阿姆斯特丹', '穿越故宮大冒險7：驚天動地多寶格(限量贈故宮人氣國寶貼紙)', '科學偵探謎野真實特別篇：科學偵探怪奇事件檔案1─廢棄醫院的亡靈', 'X尋寶探險隊 38 回魂笛音：蒙古.野馬.成吉思汗', '【老四川】螺螄風味粉(105g)', '魔法十年屋特別篇1+2套書(獨家套書加贈限量魔法師鑰匙圈)', '[MUJI 無印良品]ABS鯊魚夾/大', '跑跑薑餅人12：尖端科技的科學', '爆笑科學王6─9套書']"
童書/青少年文學,水中最強王圖鑑：NO.1爭奪淘汰賽,https://www.books.com.tw/img/001/092/29/0010922939.jpg,G.Masukawa,幼福,2022/05/01,優惠價：79折 221元,"水中世界的最強霸主究竟是誰？
海洋王者大決鬥，震撼登場！
水中神祕生物一一浮現，
展開驚心動魄的海洋之戰！
 
24種水中生物展開一對一淘汰賽，每場戰鬥都令人目不轉睛！
在水中世界裡擁...more",https://www.books.com.tw/products/0010922939?loc=P_0005_062,"['魔獸最強王圖鑑：闇黑世界之戰：NO.1爭奪淘汰賽', '異種最強王圖鑑：生物大亂鬥：NO.1爭奪淘汰賽', '妖怪最強王圖鑑：NO.1爭奪淘汰賽(新版)', '幻獸最強王圖鑑：NO.1爭奪淘汰賽(新版)', '恐龍最強王圖鑑(新版)：NO.1爭奪淘汰賽', '穿越故宮大冒險7：驚天動地多寶格(限量贈故宮人氣國寶貼紙)', '寶可夢 角色究極大圖鑑', '昆蟲最強王圖鑑(新版)：NO.1爭奪淘汰賽', '希臘羅馬神話漫畫16：柏修斯大戰美杜莎', '歡迎光臨心情聊天室：給少年的74個情緒解方(校園篇)', '屁屁偵探動畫漫畫4 噗噗 怪盜U喜歡熱呼呼', '魔法十年屋特別篇1+2套書(獨家套書加贈限量魔法師鑰匙圈)', 'X萬獸探險隊Ⅱ：(7) 河戰奇兵 蛇頭魚VS食人魚(附學習單)', '【令和】KF94 韓版 醫療級成人立體口罩|10入/盒 天使白', '落建頭皮洗髮露─潔淨健髮配方400ml', '博物館與它的產地', 'X萬獸探險隊Ⅱ：(8) 螞蟻雄兵 行軍蟻VS子彈蟻(附學習單)', '【統一生機】紅藜多穀棒─黑芝麻 150g/袋', '寶可夢 超Q貼紙包', '寶可夢 造型彩色貼畫']"
童書/青少年文學,鼻屎忍者,https://www.books.com.tw/img/001/092/20/0010922064.jpg,吉村亞希子,小魯文化,2022/05/01,優惠價：79折 284元,"兼具創意和趣味的生活教育繪本！
一位可愛又聰明的鼻屎忍者，
一場新奇又有趣的鼻孔探索之旅，
五招健康又簡單的「鼻子清爽之術」，
原來，我們的身體這麼有趣呀！
本故事結合...more",https://www.books.com.tw/products/0010922064?loc=P_0005_063,"['咬指甲妖怪', '不開刀不吃藥 簡單6招，膝蓋自然不痛了!：電視節目邀約不斷!日本膝關節博士的神奇自癒療法', '腸胃小精靈', '如果屁有顏色', '這個是什麼?那個是什麼?', '野貓軍團和金色魔法師', '【Kao花王】NEW蒸氣眼罩─純淨無香 12枚入', '怪獸媽媽：好愛好愛你限量印簽祝福紀念版', '野貓軍團：找一找遊戲書', '貓熊麵包店', '超神奇蠟筆(二版)', '【一人衣愛助兒盟】2022鳳小岳公益愛T恤─陽光款(女裝) L 湖水藍', '好想變帥的兔老大(超人氣《好想飛的兔老大》系列最新作品，全球獨家限量贈品「兔老大著色簿」)', '大屁股警長1：掙脫謎團!詭譎的神偷千面俠vs.世界偉人(小室尚子最機智的知識&遊戲橋梁書)', '吵架了，怎麼辦?', '大屁股警長2：破解懸案!狡猾的怪客剪刀手vs.歷史名人(小室尚子最幽默的知識&遊戲橋梁書)', '被罵了，怎麼辦?', '水蜜桃妹妹', '我不怕，你才怕!', '博物館與它的產地']"
童書/青少年文學,少年讀成語故事（全套5冊）,https://www.books.com.tw/img/001/092/31/0010923179.jpg,邱昭瑜,未來出版,2022/04/29,優惠價：75折 1350元,"學成語不再苦瓜臉
與眾不同，一讀就愛上的成語故事
透過故事與圖像記憶，快速累積豐富的成語知識，寫作文不再詞窮，語文分數突飛猛進！
全系列是榮獲「好書大家讀」年度最佳少年兒童讀物獎、...more",https://www.books.com.tw/products/0010923179?loc=P_0005_064,"['少年讀世說新語(全套3冊)', '少年讀諸子百家(全套5冊)', '不敗學習力：學霸都在用的10大聰明讀書法', '少年讀史記(全套5冊，附贈《史記》36則經典名句筆記本)', '[MUJI無印良品]咖啡濾紙', '我家系列5：我家的美味時間', '屁屁偵探動畫漫畫5 噗噗 怪盜U對上怪盜U?!(怪盜U頭冠限量版)', '【理膚寶水】身體滋潤沐浴乳400ml 異膚沐浴', '[MUJI無印良品]壓克力筆架', '晨讀10分鐘：做自己，不一定要叛逆(附閱讀素養題本)', '世界史偵探柯南10：阿拉伯之夜的輝煌', '偽魚販指南']"
童書/青少年文學,媽媽上班時也想著你,https://www.books.com.tw/img/001/092/29/0010922901.jpg,信實,小熊出版,2022/05/05,優惠價：79折 261元,"上班的媽媽，也是深愛孩子的媽媽
溫柔的故事，熨貼了媽媽和孩子分離焦慮、不安的心
 
★Fighting！職場媽媽，你並不孤單！
★透過家長與孩子拉鋸的生活情境，培養孩子體貼父母的心情與獨立的能...more",https://www.books.com.tw/products/0010922901?loc=P_0005_065,"['媽媽為什麼愛生氣?', '媽媽上班的時候會想我嗎?', '大手小手玩遊戲(二版)', '寶寶眼中的媽媽圖鑑：我媽媽是這樣誕生的(限量加贈驅蚊貼片)', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '遇到選擇時，你會怎麼做?(五味太郎和孩子對話的繪本)', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '妖怪旅館 生日快樂!', '小林退熱貼(未滅菌)6入 兒童用', '【匠心】宇宙人聯名 兒童平面醫用口罩 ─ 20入/盒 ， 2款可選 (適用小臉女生及大童) 星星糖', '香蕉事件', '謝謝你來當我的寶貝(10萬冊紀念版)', '怪獸媽媽：好愛好愛你限量印簽祝福紀念版', '媽媽，你會永遠愛我嗎?', '魔法親親', '屁屁偵探動畫漫畫4 噗噗 怪盜U喜歡熱呼呼', '(3包1套)哈哈防滑環保書套 260', '麵包小偷1+2套書', '為什麼不能想怎樣就怎樣：王宏哲給孩子的情緒教育繪本2(贈1桌遊1學具)', '怪傑佐羅力60：怪傑佐羅力太空大作戰']"
童書/青少年文學,雷頓不可思議偵探社6：卡特莉&孤獨的幽靈,https://www.books.com.tw/img/001/092/30/0010923087.jpg,Ahn Chi Hyeon,三采,2022/05/06,優惠價：79折 269元,"最有趣的偵探類知識漫畫
來自福爾摩斯的故鄉，比柯南更天才！
 
符合108課綱提升核心素養
★增加啟發腦力益智謎題
★任天堂暢銷推理遊戲改編
★隨書特典解謎專用放大鏡
 
...more",https://www.books.com.tw/products/0010923087?loc=P_0005_066,['NaN']
童書/青少年文學,輕輕對你說,https://www.books.com.tw/img/001/092/43/0010924321.jpg,KIDISLAND兒童島,台灣東販,2022/05/25,優惠價：9折 324元,"繪本插畫家——KIDISLAND‧兒童島，首部的繪本全創作！
謝謝你,對我無條件地信任與付出，
總是孤獨等門，也從未讓我獨自寂寞……
☆推薦給各年齡層讀者閱讀的繪本☆
作者收集生活中人類與...more",https://www.books.com.tw/products/0010924321?loc=P_0005_067,"['太郎是隻忍者犬', '【瑞典Mad Mattr】瘋狂博士MM沙─貝殼白', 'Somewhere 好地方', '月亮：夜晚擁抱的世界', '鬼手武醫的對證徒手療法：第一本從肌肉著手的整復圖解全書，從按摩解證到自主復健，徹底終結痠痛與長年損傷', '留白少年 (精裝圓角)', '海龜與海', '【濱文樣】日本雙重紗柔軟純棉方巾 · 花椰菜', '媽媽，你會永遠愛我嗎?', '星星是暗夜的眼睛(靜謐精裝版+限量贈品)']"
童書/青少年文學,【沒關係系列】為什麼每次都罵我？,https://www.books.com.tw/img/001/092/26/0010922642.jpg,宋潤燮,采實文化,2022/04/28,優惠價：79折 253元,"誰都會有生氣、哭泣、被責罵、害怕
或沒有自信的時候……
就算是這樣，也沒有關係！
勇敢面對負面情緒，能成為更好的自己！
★韓國網路書店YES24小學生書籍T0P100暢銷榜
★給孩子的「轉念」學習繪本
...more",https://www.books.com.tw/products/0010922642?loc=P_0005_068,"['【沒關係系列】我很生氣，該怎麼辦?', '複利領導：簡單的事重複做，就會有力量', '我不敢，因為我害羞', '為什麼我不能一直玩手機?', 'AVEDA 蘊活光萃Omega 5光澤滋養膜 25ml 買一送一', '沒問題，我來想辦法', '【沒關係系列】我好害怕，該怎麼辦?', '每日10分鐘數學超好玩親子互動遊戲書：用遊戲打造數學基礎，100天就讓孩子愛上學習【附贈1~100數字海報】', '身體的界線：兒童自我保護繪本', '為什麼不能想怎樣就怎樣：王宏哲給孩子的情緒教育繪本2(贈1桌遊1學具)', '如果屁有顏色', '端午飄粽香', '歡迎光臨口罩動物村', '被罵了，怎麼辦?', '數感小學冒險系列1─6套書：數字的謎團(符合108課綱跨領域素養，涵蓋『數字進位』、『時間』、『單位』、『小數』、『比與比例』、『機率』)', '氣噗噗：生氣的你，常常看不見我們愛你', '小林退熱貼(未滅菌)6入 兒童用', '屁屁偵探讀本10：屁屁偵探戀愛了?!', '河馬媽媽分鬆餅', '我不是故意要說謊']"
童書/青少年文學,AI之父圖靈腦力開發．兒童數學遊戲,https://www.books.com.tw/img/001/092/45/0010924584.jpg,威廉．波特（William Potter）,小果文創,2022/05/25,優惠價：79折 236元,"AI之父艾倫．圖靈兒童腦力開發遊戲
～圖靈基金會∕STEM數學解碼系列～
★題目設計結合STEM教學
AI之父艾倫．圖靈（AlanTuring）是世界知名解碼高手，
他在第二次世界大戰期間，成功破解德軍的情報...more",https://www.books.com.tw/products/0010924584?loc=P_0005_069,"['AI之父圖靈腦力開發.兒童智力遊戲', '那隻野狼惹了誰?', '離島星星數一數 逃出數學的密室(附 超實用攻略本)', '1天10分鐘記住全世界.創意圖像地圖繪本_記住，就永不會忘!(附贈「世界地圖大海報」與「我的創意圖像」學習單下載)', '挑戰你的邏輯力.聰明頭腦益智遊戲 1+2', '逃離吧!腳就是用來跑的(獨家加贈限量解憂便利貼)', '1日9分，強化反應力!點連點鏡像圖練習：5歲以上就可以玩，強化空間智力X學習幾何思考=腦圖全速展開!', '密室逃脫‧博物館大冒險：你能解開謎團順利脫逃嗎?(附110個解謎小配件 + 配件收納袋)', '童話找找看']"
童書/青少年文學,安妮日記【75週年紀念最終增訂版】：安妮．法蘭克基金會唯一正式授權，新增前言、後記、編輯過程、獨家照片，散佚內容全數收錄！,https://www.books.com.tw/img/001/092/54/0010925448.jpg,安妮．法蘭克,皇冠,2022/05/30,優惠價：79折 284元,"在一個夢想與希望皆被粉碎的時代，
我覺得孤獨，卻從不曾絕望！
新增前言、後記、編輯過程、獨家照片，散佚內容全數收錄！
全球銷量超過3000萬本！法國《世界報》20世紀百大書籍！
...more",https://www.books.com.tw/products/0010925448?loc=P_0005_070,"['皇冠 6月號/2022 第820期', '[MUJI無印良品]自由換芯膠墨筆芯/紅0.38mm', '[MUJI無印良品]自由換芯滑順膠墨筆芯/紅0.5mm', '百年孤寂：首度正式授權繁體中文版!出版50週年紀念全新譯本【平裝典藏版】', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '柯瑞平凡中的不一樣：NBA神射手的30段勇氣人生', '[MUJI無印良品] 鹽味起司爆米花/45g', '[MUJI無印良品]即食迷你拉麵 (雞汁風味)/120g', '你是盛放煙火，而我是星空']"
