,分類,書名,作者,出版社,出版日期,優惠價,也買了
10,文學小說,海幻 （限量作者親簽版）,梨木香步,木馬文化,2022/06/01,優惠價：79折 284元,"['留在Tomo桑心底的日本味：想念家鄉的60道日式料理', '平家物語 犬王之卷(湯淺政明✕松本大洋《犬王》動畫原著)【獨家限量松本大洋海報版】', '你不能再死一次【博客來獨家親簽版】', '艾笛的永生契約(作者親筆簽名扉頁版+獨家奇幻透卡)', '綾羅歌.卷一~卷二.獨家限量作者親簽精緻燙金典藏書盒版', '放歌(作者親簽版)', '武漢(博客來獨家簽名版)', '候鳥的女兒(作者親筆簽名扉頁版)', '我有結婚病【限量親簽版】', '未來還沒被書寫：搖滾樂及其所創造的(博客來獨家限量親簽)', '流動日常：藝術蝦的繪畫日記【扉頁親簽版‧博客來獨家】', '銀之夜', '零零落落【限量精裝版：每本附專屬收藏燙金編號及親蓋藏書印】', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '【NU4PET 陪心寵糧】小白主食罐 雞魚 X 野莓 (狗)─80g', '第二代馬蘭吟唱隊&董事長跨界大樂團 / Pakelang 八歌浪 (CD)', '【作者親簽版】頂級食材聖經：跟著摘星主廚Jimmy品嘗金字塔頂端的美味', '男子漢【限量作者親簽版】', '彼岸花盛開之島【日本原版書封】(台灣首位，芥川獎得獎作!)', '村上T 我愛的那些T恤']"
11,文學小說,擁抱自己的碎片（首刷贈送限量筆記本）,青（@163______________）,時報出版,2022/05/24,優惠價：79折 277元,['NaN']
12,文學小說,百鬼夜行卷7：吸血鬼,笭菁,奇幻基地,2022/04/30,優惠價：79折 269元,"['丑時之女：異遊鬼簿II', '百鬼夜行卷8：狼人(月夜狼嚎PVC夜光書衣版)', '百鬼夜行卷6：黃色小飛俠', '百鬼夜行卷8：狼人', '百鬼夜行卷5：座敷童子', '乩身：血月時魔王降臨 完', '詭軼紀事‧肆：喪鐘平安夜', '詭軼紀事‧參：萬聖鐮血夜', '百鬼夜行卷4：火焚鬼', '詭軼紀事‧貳：中元萬鬼驚', '詭軼紀事‧壹：清明斷魂祭', '百鬼夜行卷3：魔神仔', '[MUJI無印良品]即食迷你拉麵 (韓式泡菜風味)/120g', '[MUJI無印良品]即食迷你拉麵 (泰式酸辣風味)/120g', '百鬼夜行卷2：水鬼', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '百鬼夜行卷1：林投劫', '笭菁闇語2：厄鄰', '歡迎光臨夢境百貨2：找回不再做夢的人', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)']"
13,文學小說,天防者III：超感者,布蘭登．山德森,奇幻基地,2022/06/02,優惠價：79折 356元,"['綾羅歌.卷一~卷二.獨家限量作者親簽精緻燙金典藏書盒版', '泰斯凱蘭二部曲【《名為帝國的記憶》+《名為和平的荒蕪》雙書套書.呼應現實歷史，雨果獎得獎文學經典巨作】', '颶光典籍四部曲：戰爭節奏(上下冊套書)', 'UBIK尤比克【這部小說無所不能，《銀翼殺手》菲利普.狄克傳世經典】', '無名之子', '天防者II：星界', 'OKR：做最重要的事', '艾笛的永生契約(作者親筆簽名扉頁版+獨家奇幻透卡)', '陪審員', '刺客正傳系列套書【二十五週年紀念.限量典藏插畫精裝書盒版】(全五冊，博客來獨家限定專屬流水編號)', '天防者', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '百鬼夜行卷8：狼人(月夜狼嚎PVC夜光書衣版)', 'ONE PIECE航海王 102 (首刷限定版)', '綾羅歌.卷二', '綾羅歌.卷一', '極限返航', '平凡職業造就世界最強 12 (首刷限定版)', '好麗友巧克力派 360g', 'Fate/kaleid liner 魔法少女☆伊莉雅3rei!! (12)']"
14,文學小說,日常運動,梁莉姿,木馬文化,2022/06/01,優惠價：79折 300元,"['香港甚好的片刻︰加山傳播專訪合輯', '對號入座', '偽詩集', '男子漢【限量作者親簽版】', '香港_何去何從', '綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '少年', '你不能再死一次【博客來獨家親簽版】', '【令和】KF94 韓版 醫療級成人立體口罩|10入/盒 摩卡奶茶', '夜的大赦', '沒有女人的男人們(電影書腰全心出發版)', '【令和】KF94 韓版 醫療級成人立體口罩|10入/盒 莫藍綠', '擠迫之城的戀愛方法', '時代革命 BD', '余英時評政治現實(限量珍藏印章版)', '煙街', '【令和】KF94 韓版 醫療級成人立體口罩|10入/盒 午夜藍', '原來你什麼都不想要(博客來獨家作者親簽版)', '刺蝟讀書：董啟章隨筆集二', '《時代革命》電影訪談錄']"
15,文學小說,激流與倒影（平裝雲門《水月》雙面書衣）,林懷民,時報出版,2022/05/27,優惠價：79折 379元,"['村上T 我愛的那些T恤', '彼岸花盛開之島【日本原版書封】(台灣首位，芥川獎得獎作!)', '偽魚販指南', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '菜場搜神記：一個不買菜女子的市場踏查日記', '此生，你我皆短暫燦爛', '蟬', '學美之旅：用心看見美，生活即詩境', '文茜說世紀典範人物之二：從平凡到不平凡的─梅克爾、羅斯福夫人、杜魯門', '不知道的都叫樹', '走到人生邊上—自問自答', '有時混黑道，有時彈鋼琴', '未來還沒被書寫：搖滾樂及其所創造的(博客來獨家限量親簽)', '內景唐人街', '我在地球的奇異旅程', '雪佛：年度散文獎得主王盛弘書寫散文再創新格局作品', '天河撩亂(20週年復刻版)', '余英時評政治現實(限量珍藏印章版)', '老倫敦.從酒吧出發', '九十挺立，繼續舞向終點：薇薇夫人自備快樂的不老晚年']"
16,文學小說,光是想著你我就詩了,鄭茜馨,寶瓶文化,2022/05/12,優惠價：79折 253元,"['假牙詩集：我的青春小鳥', '微意思', '無言歌', '偽魚販指南', '嬰兒涉過淺塘', '燃：最新研究，揭開身體究竟如何燃燒卡路里、減肥、保持健康!', '知識複利：將內容變現，打造專家型個人品牌的策略', '塗鴉吧!用視覺模板翻轉人生：6種框架x4個步驟，學習、工作、時間管理全搞定', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '你不能再死一次【博客來獨家親簽版】', '底層邏輯：看清這個世界的底牌', '【dalli德國達麗】機能衣物洗衣精1.1L', '新活水 5月號/2022第29期', '挪威的森林 30周年紀念版(平裝套書)', '只靠靈感，永遠寫不出好文案!：日本廣告天才教你用科學方法一小時寫出完美勸敗的絕妙文案', '【TARIS】特拉佛斯天然整顆櫻桃乾85g/包', '月光落在左手上：余秀華詩選', '那個字太殘忍我不敢說', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '瘦骨嶙峋的愛']"
17,文學小說,彼岸花盛開之島【台灣獨家書封】（台灣首位，芥川獎得獎作！）,李琴峰,聯合文學,2022/06/01,優惠價：79折 308元,"['綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '你不能再死一次【博客來獨家親簽版】', '獨舞', '倒數五秒月牙', '村上T 我愛的那些T恤', '北極星灑落之夜', '古埃及文作業簿', '艾笛的永生契約(作者親筆簽名扉頁版+獨家奇幻透卡)', '海幻 (限量作者親簽版)', '在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】', '西北雨(作者親簽珍藏版)(二版)', '《台北大空襲》小說集(博客來獨家書衣版)', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '海獅說歐洲王室羅曼死【限量親簽香氛扉頁+「王子公主的有事人生」透明貼紙】', '[MUJI無印良品]自由換芯按壓滑順膠墨筆/藍0.5mm', '彼岸花盛開之島【日本原版書封】(台灣首位，芥川獎得獎作!)', '菊元百貨：漫步臺北島都', '再也沒有蒜苗佐烏魚子了', '廣播社2 紀實篇']"
18,文學小說,有情人間：不遺忘的溫柔書寫,宋怡慧,時報出版,2022/05/31,優惠價：79折 300元,"['戰鬥吧!成語：歡迎登入厭世國文伺服器', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '上一堂人生國文課：希望老師有教我的事，關於際遇、抉擇、傷痛，以及無論順逆都能優雅起身', '不敗學習力：學霸都在用的10大聰明讀書法', '[MUJI無印良品]自由換芯膠墨筆芯/黑0.5mm', '火鍋奇幻物語：國中自然科一日特訓', '遊戲人生72變：線上‧實體遊戲教學一本通', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '知識複利：將內容變現，打造專家型個人品牌的策略', '塗鴉吧!用視覺模板翻轉人生：6種框架x4個步驟，學習、工作、時間管理全搞定', '逃離吧!腳就是用來跑的(獨家加贈限量解憂便利貼)', '流沙', '我在地球的奇異旅程', '法律歸法律?：熱門新聞話題中的法律爭議，我也是看法白才知道!', '人生有限，你要玩出無限：在個體崛起時代，展現「一軍」突起的軟實力', '[MUJI無印良品]自由換芯按壓滑順膠墨筆/藍0.5mm', '[MUJI無印良品]自由換芯按壓滑順膠墨筆/紅0.5mm', '學生一定要認識02 西方發明家', '剛剛好的優雅：志玲姊姊修養之道']"
19,文學小說,彼岸,田威寧,聯經出版公司,2022/05/26,優惠價：79折 253元,"['寧視', '小王子【Grade 4經典文學讀本】(二版)(25K+1MP3)', 'eggshell Verda小鹿山丘 有機精油長效雙效防蚊液60g', '流沙', '看得見的臺灣史.空間篇：30幅地圖裡的真實與想像【隨書贈〈十九世紀臺灣輿圖〉&〈五十萬分一臺灣蕃地圖〉經典復刻】', '我有結婚病【限量親簽版】', '村上T 我愛的那些T恤', '你是盛放煙火，而我是星空', '原來你什麼都不想要(博客來獨家作者親簽版)', '你不能再死一次【博客來獨家親簽版】', '西北雨(作者親簽珍藏版)(二版)', '小王子(典藏幻夢版【首刷加贈「與小王子相遇」明信片套組】)', '男子漢【限量作者親簽版】', '光是想著你我就詩了']"
