分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
文學小說,御賜剋星妻 卷三(完),https://www.books.com.tw/img/001/092/27/0010922733.jpg,池雨,藍海文化,2022/04/22,優惠價：79折 213元,"成為太子和昌王都想拉攏的搖錢樹，丁明錦表示可以幫——倒忙！
和兩方簽約答應拆借銀子，並抬出身後兩大親戚富商聯合作保，
實則利用可能要廢止鹽茶票據新規的消息，
趁著行情波動買進票...more",https://www.books.com.tw/products/0010922733?loc=P_0005_024,"['御賜剋星妻 卷二', '御賜剋星妻 卷一', '【統一生機】有機甘栗 150g/包', '換個夫君就好命(上)', '換個夫君就好命(下)+(拆封不退)']"
文學小說,拔劍就是真理12,https://www.books.com.tw/img/001/092/29/0010922989.jpg,乘風御劍,說頻文化,2022/04/29,優惠價：79折 142元,"天妖界大舉入侵太元界，柳承淵為永絕後患，決定滅了它，反物質彈對付不了，那就來一記太陽爆發如何？
柳承淵順利渡劫成仙，此時，留在羲和界的世界波動探測儀有了反應，他是否有機會回到地球……
 ...more",https://www.books.com.tw/products/0010922989?loc=P_0005_025,['NaN']
文學小說,星門31,https://www.books.com.tw/img/001/092/29/0010922993.jpg,老鷹吃小雞,說頻文化,2022/04/29,優惠價：79折 142元,"李皓來了天星城，見到了侯霄塵，侯霄塵帶他到九龍閣這個九司大人物平時會去尋樂子的地方吃飯，讓人震撼的是，侯霄塵在九龍閣，對財政司宣戰了！
然而，侯霄塵氣勢洶洶地要宣戰，先鋒大將李皓卻連...more",https://www.books.com.tw/products/0010922993?loc=P_0005_026,"['綠猴劫(《海天龍戰》32年紀念新版)', '仙藥大亨33', '怪奇捷運物語1：妖狐轉生', '半仙闖江湖106', '乩身 (9─11) 完']"
文學小說,神寵之王71,https://www.books.com.tw/img/001/092/29/0010922995.jpg,古羲,說頻文化,2022/04/29,優惠價：79折 142元,"混亂星域，古屍體內，一顆心臟被利劍貫穿，
但蘇平一行發現，心臟依舊在跳動，難道這具古屍還活著？
而所謂宇宙霸主的傳承，就在古屍的頭顱中，
但蘇平卻慢了一步，傳承已被原始星的聖子...more",https://www.books.com.tw/products/0010922995?loc=P_0005_027,"['公子別秀07', '玄龍傳說10', '御獸王24']"
文學小說,聊齋志異八．秀才難為,https://www.books.com.tw/img/001/092/30/0010923003.jpg,蒲松齡,好讀,2022/05/01,優惠價：9折 269元,"中國文言文短篇小說鉅作《聊齋志異》，已被譯成20多種語言版本
第八冊名為《秀才難為》，縱有蓋世之才，最終能否翻出命運的掌握？
繼精美成書、廣受好評的《紅樓夢》《三國演義》《水滸傳》...more",https://www.books.com.tw/products/0010923003?loc=P_0005_028,"['漫畫六朝怪談.聊齋誌異', '圖解山海經大全：上古奇珍異獸、民俗歷史、宗教巫術的神話地理志【暢銷增訂版】', '夜半吹燈，讀聊齋：給現代人的白話聊齋故事', '妖鬼仙怪起源的奇異世界：《山海經》，中國的妖鬼仙怪、奇獸精靈，與他們的起源', '漫畫史記.世說新語']"
文學小說,御獸王23,https://www.books.com.tw/img/001/092/30/0010923004.jpg,輕泉流響,說頻文化,2022/04/27,優惠價：79折 142元,"全國大賽熱鬧展開，時宇和高軒同為備受矚目的選手，首先要進行的是個人預賽，在荒島上求生存，面對挑戰，時宇有了一個大膽的想法……
如果全國大賽都不能亂殺，還去什麼世界賽釣霸主...more",https://www.books.com.tw/products/0010923004?loc=P_0005_029,"['超武醫神44', '仙藥大亨34']"
文學小說,皓玉真仙05,https://www.books.com.tw/img/001/092/30/0010923005.jpg,小道不講武德,說頻文化,2022/04/29,優惠價：79折 142元,"救治玄火鴉過程中，虻后覺醒靈智，蟲魂奪舍，
二者融合為一，陳平阻止不及，無奈接受，命名玄虻。
金瑞島三大勢力，金家、摘星閣、求仙盟，彼此鬥爭不斷，
金家舉辦金瑞拍賣大會，陳平與...more",https://www.books.com.tw/products/0010923005?loc=P_0005_030,"['皓玉真仙06', '仙藥大亨35', '氣運之主10']"
文學小說,超武醫神44,https://www.books.com.tw/img/001/092/30/0010923009.jpg,步行天下,說頻文化,2022/04/27,優惠價：79折 142元,"孔禹洲被打，古德藥業向精誠藥業宣戰，古德藥業這次能贏嗎？
蘇燁父母被抓，是什麼人做的？蘇燁能救回自己父母嗎？...more",https://www.books.com.tw/products/0010923009?loc=P_0005_031,"['仙藥大亨34', '仙藥大亨33', '御獸王23', '氣運之主09', '皓玉真仙04']"
文學小說,仙藥大亨34,https://www.books.com.tw/img/001/092/30/0010923026.jpg,寂寞我獨走,說頻文化,2022/04/27,優惠價：79折 142元,曲非煙回歸家族，道出遭寧無缺追殺一事，其兄曲玉鱗大怒，定要替她討回一個公道，遂設局引出寧無缺，二人於紫雲星蜈蚣山脈大戰。雙方使出渾身解數，法寶齊出，最終，曲玉鱗斬寧無缺一臂，姜家及時出面...more,https://www.books.com.tw/products/0010923026?loc=P_0005_032,"['仙藥大亨33', '超武醫神44', '氣運之主09', '盜天傳說30', '御獸王23', '皓玉真仙04']"
文學小說,八十還年輕,https://www.books.com.tw/img/001/092/30/0010923093.jpg,黃瑞循,大陸書店,2022/05/01,優惠價：9折 315元,"很不一樣的詩與散文集，知性、創新、勵志，充滿世界觀與台灣情。
推薦語
夏普誼Dr.DanielChapuis 前美國紐約市立大學皇后學院語言學代理教授：
我認識黃先生已超過十年，我佩服他的精力...more",https://www.books.com.tw/products/0010923093?loc=P_0005_033,"['我輩中人：寫給中年人的情書', '做自己，為什麼還要說抱歉?', '旅行與讀書', '夢中的橄欖樹【三毛逝世30週年紀念版】', '水問']"
