分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
漫畫/圖文書,妖幻三重奏 7,https://www.books.com.tw/img/001/092/37/0010923742.jpg,矢吹健太朗,東立,2022/06/02,優惠價：95折 95元,小彌變得能看得見妖怪，祭里與小鈴從縊鬼手中解救了她。雖然兩人跟小彌說明退魔忍與妖巫女的事，但祭里害怕會被討厭，所以沒告訴她自己原本是男生。這時，小鈴卻邀祭里到她家住一晚…！？...more,https://www.books.com.tw/products/0010923742?loc=P_0005_040,['NaN']
漫畫/圖文書,王者天下 60,https://www.books.com.tw/img/001/092/39/0010923964.jpg,原泰久,長鴻出版社,2022/05/13,優惠價：9折 126元,"那個〝政敵〞行動詭異！？此外，秦軍展開新戰事！！
呂不韋蠢蠢欲動的消息傳到咸陽。為確認傳言是否屬實，嬴政親自前往河南…！？此外，為拿下趙國，秦軍前線部隊從鄴城出發北上。面對趙軍牢固的...more",https://www.books.com.tw/products/0010923964?loc=P_0005_041,"['王者天下 59', '王者天下 58', '亞爾斯蘭戰記 16', '王者天下 57', '宇宙兄弟(34)', 'ONE PIECE航海王 102', 'ONE PIECE航海王 102 (首刷限定版)', '死役所(04)', '魔法少年賈修 完全版 4 (首刷附錄版)', '炎炎消防隊 31', '將太的壽司 愛藏版 13', '地下忍者(04)', '鐵拳小子 Legends 28', '五星物語(14)', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '勿說是推理(08)', '膽大黨 (首刷限定版) 1', '擅長逃跑的殿下 1 (首刷限定版)', 'ONE─PUNCH MAN 一拳超人 24', '拳願阿修羅(25)']"
漫畫/圖文書,踢開擺盪的心,https://www.books.com.tw/img/001/092/39/0010923983.jpg,夏來十歩,長鴻出版社,2022/05/13,優惠價：85折 119元,"被人擄走早已成為家常便飯的不良少年和田，
以及非常喜歡和田的—坂（乳頭擔當）與藤井（屁屁擔當），
和田對於被這兩人纏著不放的每一天感到相當厭倦。
就在某一天，和田再度理所當然地遭...more",https://www.books.com.tw/products/0010923983?loc=P_0005_042,['NaN']
漫畫/圖文書,祕密的箱庭,https://www.books.com.tw/img/001/092/53/0010925383.jpg,梢子,長鴻出版社,2022/05/27,優惠價：9折 126元,"嵩紫野高中是一所寄宿學校，聚集了擁有〝秘密〞的學生。
天瀨滿轉學到這所學校，遇見了溫和開朗的室友‧星宮恒。
雖然對方對自己十分親切，但在觸及自己的〝秘密〞時，他還是沒忍住揍了對方。
...more",https://www.books.com.tw/products/0010925383?loc=P_0005_043,['NaN']
漫畫/圖文書,隔壁的金屬樂控(全),https://www.books.com.tw/img/001/092/36/0010923684.jpg,マミタ,青文,2022/05/09,優惠價：9折 126元,"這是我認識壯志哥後，
到迎接第二個
春天的故事──
貧窮的研究所學生遣斗，
在大雪紛飛的日子裡差點在家凍死，
是隔壁鄰居壯志救了他。
壯志身穿全黑的衣服，
寡言且面相...more",https://www.books.com.tw/products/0010923684?loc=P_0005_044,['NaN']
漫畫/圖文書,重版出來！(16),https://www.books.com.tw/img/001/092/59/0010925920.jpg,松田奈緒子,青文,2022/05/30,優惠價：9折 179元,"1.我們都在期待出版的作品，可以如同刷卡一刷再刷。
2.再版再版再版，這是每個作家心中跳針的旋律。
3.一本萬「歷」：一本書的成就，需要集合作家、出版、通路等人的閱歷。
4.出版是幸運...more",https://www.books.com.tw/products/0010925920?loc=P_0005_045,"['SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '五星物語(14)', 'SPY×FAMILY 間諜家家酒 9', '海波追尋的終幕 2 (首刷限定版)', '殺手寓言(05)', '殺手寓言(06)', '勿說是推理(08)', '宇宙兄弟(34)', '飛翔的魔女 10', '魔法使的印刷廠 (6) (完)', '拳願阿修羅(25)', '被擦掉的初戀 5', '膽大黨 (首刷限定版) 1', '古見同學是溝通魯蛇。(18)', '(3包1套)哈哈防滑環保書套 210', '魔法少年賈修 完全版 5 (首刷附錄版)', '衛府七忍(10)完', '死役所(04)', '地下忍者(04)', '亞爾斯蘭戰記 16']"
漫畫/圖文書,今泉家似乎已經被辣妹們當成玩樂窩給徹底霸佔了A,https://www.books.com.tw/img/001/092/43/0010924315.jpg,のり伍郎,未來數位,2022/05/13,優惠價：9折 450元,"超高人氣全彩同人系列作今泉家①～③卷+特別篇、超濃郁單行本♥
三位個性迥異的辣妹
意外會嬌慣男性——腹黑辣妹、濱崎伶奈
總是第一個升天——高傲辣妹、佐佐木雪菜
總喜歡獨占偷吃—...more",https://www.books.com.tw/products/0010924315?loc=P_0005_046,['NaN']
漫畫/圖文書,我們原本只是普通直男！！(全),https://www.books.com.tw/img/001/092/58/0010925888.jpg,tomomo,青文,2022/05/30,優惠價：9折 144元,"隨處可見的β——大和一睜眼發現自己竟然在汽車旅館！！
四周散落的衣物和保險套、兩腿間流淌的白濁……
而在身旁熟睡的，竟是同為β的死黨——圭一。
昨晚接受了能夠使β「模擬...more",https://www.books.com.tw/products/0010925888?loc=P_0005_047,['NaN']
漫畫/圖文書,五等分的新娘 全彩版 11,https://www.books.com.tw/img/001/092/20/0010922045.jpg,春場葱,東立,2022/05/12,優惠價：95折 181元,"「瀕臨留級」、「討厭唸書」的五胞胎美少女，和身為兼差的家教老師，要讓她們可以順利「畢業」的風太郎。
在京都的修學旅行期間，五姊妹為了風太郎，關係一度鬧僵，但風波過後，姊妹情誼更加堅定...more",https://www.books.com.tw/products/0010922045?loc=P_0005_048,"['出租女友 24 (首刷限定版)', '五等分的新娘 全彩版 10', '星期一的豐滿 青版 3 (首刷限定版)', '【我推的孩子】(05)', '星期一的豐滿 3 (首刷限定版)', '式守同學不只可愛而已 9', '五等分的新娘 全彩版 9', '結界師 完全版 5 (首刷附錄版)', '亞爾斯蘭戰記 16', 'Fate/kaleid liner 魔法少女☆伊莉雅3rei!! (12)', '久保同學不放過我 3', '家庭教師HITMAN REBORN!愛藏版 12 (首刷附錄版)', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '五等分的新娘 全彩版 12', 'ONE PIECE航海王 102 (首刷限定版)', 'UQ HOLDER!悠久持有者 27', '加油吧同期醬 1 (特裝版)', '擅長逃跑的殿下 1 (首刷限定版)', '死神少爺與黑女僕 13', '五等分的新娘 全彩版 8']"
漫畫/圖文書,忍戀！,https://www.books.com.tw/img/001/092/53/0010925384.jpg,猫乃森シマ,長鴻出版社,2022/05/27,優惠價：9折 126元,"大學生幸彥才剛開始放春假
就在爺爺的推薦下莫名其妙展開了忍者修行…！
帶著滿肚子疑問抵達目的地後，
迎接他的是帥氣的一等密探‧豬野又仁義。
嚴苛的訓練進行到一半時，
他突然...more",https://www.books.com.tw/products/0010925384?loc=P_0005_049,['NaN']
